saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2024-2025,https://www.flashscore.fr/match/SOLVXEbk/#/resume-du-match,1,4,0.3,0.7,3.0,5.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,5.0,5.0,2.0,0.0,0.81,0.95,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/0js8u60b/#/resume-du-match,1,5,0.54,0.46,5.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,4.0,1.0,3.0,1.0,0.85,0.79,0.0,0.0,1,3,1
2024-2025,https://www.flashscore.fr/match/jqSiuc6F/#/resume-du-match,0,2,0.3,0.7,1.0,11.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,4.0,3.0,0.0,6.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.76,0.88,1.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/fHYrsJy3/#/resume-du-match,1,0,0.6,0.4,6.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,9.0,10.0,2.0,2.0,7.0,6.0,0.0,0.0,0.83,0.68,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/ripawyyS/#/resume-du-match,2,1,0.48,0.52,10.0,4.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,7.0,5.0,1.0,1.0,5.0,7.0,0.0,0.0,0.85,0.9,0.0,0.0,1,1,-1
2024-2025,https://www.flashscore.fr/match/6ehlLyFq/#/resume-du-match,0,0,0.51,0.49,2.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,0.0,1.0,8.0,9.0,0.0,0.0,7.0,5.0,1.0,1.0,0.84,0.84,0.0,0.0,0,0,0
2024-2025,https://www.flashscore.fr/match/M5VGwpVA/#/resume-du-match,1,1,0.48,0.52,5.0,5.0,3.0,1.0,1.0,4.0,1.0,0.0,5.0,2.0,1.0,3.0,10.0,7.0,0.0,0.0,6.0,9.0,1.0,1.0,0.79,0.84,0.0,0.0,0,0,0
2024-2025,https://www.flashscore.fr/match/2NocJFqd/#/resume-du-match,0,1,0.47,0.53,1.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,3.0,1.0,7.0,8.0,1.0,3.0,3.0,6.0,0.0,0.0,0.67,0.78,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/zkPwWhT1/#/resume-du-match,3,0,0.48,0.52,8.0,4.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,0.79,0.8,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/vwbmU7aL/#/resume-du-match,0,0,0.6,0.4,7.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,6.0,5.0,1.0,1.0,5.0,6.0,1.0,3.0,0.85,0.74,0.0,0.0,0,0,0
